CodeID,Rat,Phase,SpeciesID,Species,Sex,Precipitation,TempMax,TempMin,Season,Sunit,spPhase
17p1,P,advance decay,LE,Lucilia_eximia,M,9.75,15.375,23.04,fall,advance decayP,advance decayLE
18a1,A,advance decay,CL,Calliphora_lopesi,F,9.75,15.375,23.04,winter,advance decayA,advance decayCL
18a2,A,advance decay,CL,Calliphora_lopesi,M,32.35,13.75,20.4,winter,advance decayA,advance decayCL
18a3,A,advance decay,CL,Calliphora_lopesi,M,32.35,13.75,20.4,winter,advance decayA,advance decayCL
18b1,B,advance decay,CL,Calliphora_lopesi,M,32.35,13.75,20.4,winter,advance decayB,advance decayCL
18b2,B,advance decay,HSD,Hemilucilia_semidiaphana,F,32.35,13.75,20.4,winter,advance decayB,advance decayHSD
18b3,B,advance decay,CHA,Chrysomya_albiceps,F,32.35,13.75,20.4,winter,advance decayB,advance decayCHA
1i1,I,fresh,LE,Lucilia_eximia,F,11.08571429,18.09880952,25.81142857,summer,freshI,freshLE
1i3,I,fresh,LE,Lucilia_eximia,F,11.08571429,18.09880952,25.81142857,summer,freshI,freshLE
1k2,K,fresh,HSD,Hemilucilia_semidiaphana,F,11.08571429,18.09880952,25.81142857,summer,freshK,freshHSD
18p1,P,advance decay,CHA,Chrysomya_albiceps,M,6.9,13.925,21.52,fall,advance decayP,advance decayCHA
1o1,O,fresh,LE,Lucilia_eximia,F,7.25,14.6,21.96,fall,freshO,freshLE
1o2,O,fresh,LE,Lucilia_eximia,F,7.25,14.6,21.96,fall,freshO,freshLE
21a2,A,advance decay,CL,Calliphora_lopesi,M,19.8,12.42,17.56,winter,advance decayA,advance decayCL
21a3,A,advance decay,CL,Calliphora_lopesi,M,19.8,12.42,17.56,winter,advance decayA,advance decayCL
21b1,B,advance decay,CL,Calliphora_lopesi,F,19.8,12.42,17.56,winter,advance decayB,advance decayCL
21b2,B,advance decay,CL,Calliphora_lopesi,M,19.8,12.42,17.56,winter,advance decayB,advance decayCL
21b3,B,advance decay,CL,Calliphora_lopesi,M,19.8,12.42,17.56,winter,advance decayB,advance decayCL
21c1,C,advance decay,LE,Lucilia_eximia,F,19.8,12.42,17.56,winter,advance decayC,advance decayLE
22a1,A,advance decay,CL,Calliphora_lopesi,F,4.28,11.66,17.56,winter,advance decayA,advance decayCL
